login,type,contributions,id,html_url
merrymercy,User,898,15100009.0,https://github.com/merrymercy
zhyncs,User,769,46627482.0,https://github.com/zhyncs
fzyzcjy,User,339,5236035.0,https://github.com/fzyzcjy
hnyls2002,User,269,95566987.0,https://github.com/hnyls2002
slin1237,User,205,25425177.0,https://github.com/slin1237
Ying1123,User,186,9302255.0,https://github.com/Ying1123
CatherineSue,User,166,8605658.0,https://github.com/CatherineSue
ispobock,User,152,26454835.0,https://github.com/ispobock
BBuf,User,130,35585791.0,https://github.com/BBuf
Fridge003,User,115,56809903.0,https://github.com/Fridge003
ByronHsu,User,113,24364830.0,https://github.com/ByronHsu
ch-wan,User,87,54331508.0,https://github.com/ch-wan
JustinTong0323,User,77,115166877.0,https://github.com/JustinTong0323
ShangmingCai,User,77,171321666.0,https://github.com/ShangmingCai
mickqian,User,72,30898949.0,https://github.com/mickqian
key4ng,User,65,16893865.0,https://github.com/key4ng
lifuhuang,User,63,3427331.0,https://github.com/lifuhuang
zhaochenyang20,User,60,74843776.0,https://github.com/zhaochenyang20
HaiShaw,User,57,3349073.0,https://github.com/HaiShaw
Alcanderian,User,56,15688594.0,https://github.com/Alcanderian
yizhang2077,User,56,25844240.0,https://github.com/yizhang2077
xiezhq-hermann,User,53,22819949.0,https://github.com/xiezhq-hermann
hebiao064,User,49,11166516.0,https://github.com/hebiao064
Qiaolin-Yu,User,42,90088090.0,https://github.com/Qiaolin-Yu
yuan-luo,User,39,4908075.0,https://github.com/yuan-luo
kkHuang-amd,User,39,43161300.0,https://github.com/kkHuang-amd
saienduri,User,37,77521230.0,https://github.com/saienduri
trevor-m,User,36,12981474.0,https://github.com/trevor-m
FlamingoPg,User,36,32722923.0,https://github.com/FlamingoPg
b8zhong,User,36,184021590.0,https://github.com/b8zhong
whybeyoung,User,29,10629930.0,https://github.com/whybeyoung
hzh0425,User,27,58988019.0,https://github.com/hzh0425
ishandhanani,User,26,82981111.0,https://github.com/ishandhanani
byjiang1996,User,23,18157653.0,https://github.com/byjiang1996
hubertlu-tw,User,22,55214931.0,https://github.com/hubertlu-tw
shuaills,User,21,126407087.0,https://github.com/shuaills
huangtingwei9988,User,21,141888744.0,https://github.com/huangtingwei9988
sleepcoo,User,21,118525388.0,https://github.com/sleepcoo
simveit,User,20,69345428.0,https://github.com/simveit
sglang-bot,User,20,232288953.0,https://github.com/sglang-bot
DarkSharpness,User,20,76582120.0,https://github.com/DarkSharpness
chunyuan-w,User,20,65992142.0,https://github.com/chunyuan-w
adarshxs,User,19,114558126.0,https://github.com/adarshxs
lambert0312,User,19,4230458.0,https://github.com/lambert0312
comaniac,User,18,8262694.0,https://github.com/comaniac
elfiegg,User,18,164945471.0,https://github.com/elfiegg
