login,type,contributions,id,html_url
WoosukKwon,User,674,46394894.0,https://github.com/WoosukKwon
DarkLight1337,User,654,44970335.0,https://github.com/DarkLight1337
youkaichao,User,467,23236638.0,https://github.com/youkaichao
mgoin,User,398,3195154.0,https://github.com/mgoin
hmellor,User,320,19981378.0,https://github.com/hmellor
Isotr0py,User,301,41363108.0,https://github.com/Isotr0py
njhill,User,236,16958488.0,https://github.com/njhill
jeejeelee,User,229,19733142.0,https://github.com/jeejeelee
simon-mo,User,178,21118851.0,https://github.com/simon-mo
ywang96,User,171,136131678.0,https://github.com/ywang96
russellb,User,165,309258.0,https://github.com/russellb
reidliu41,User,136,61492567.0,https://github.com/reidliu41
yewentao256,User,136,44945378.0,https://github.com/yewentao256
zhuohan123,User,121,17310766.0,https://github.com/zhuohan123
tlrmchlsmth,User,119,1236979.0,https://github.com/tlrmchlsmth
LucasWilkinson,User,118,8854186.0,https://github.com/LucasWilkinson
robertgshaw2-redhat,User,117,114415538.0,https://github.com/robertgshaw2-redhat
NickLucche,User,102,10706289.0,https://github.com/NickLucche
heheda12345,User,96,25218289.0,https://github.com/heheda12345
Kevin H. Luu,Anonymous,81,,
varun-sundar-rabindranath,User,81,3337719.0,https://github.com/varun-sundar-rabindranath
chaunceyjiang,User,80,17962021.0,https://github.com/chaunceyjiang
tdoublep,User,74,7945038.0,https://github.com/tdoublep
bigPYJ1151,User,74,47744603.0,https://github.com/bigPYJ1151
comaniac,User,67,8262694.0,https://github.com/comaniac
noooop,User,66,4209369.0,https://github.com/noooop
Yard1,User,65,10364161.0,https://github.com/Yard1
gshtras,User,63,156009573.0,https://github.com/gshtras
andyxning,User,55,2404712.0,https://github.com/andyxning
jikunshang,User,54,50897707.0,https://github.com/jikunshang
alexm-redhat,User,54,59768536.0,https://github.com/alexm-redhat
dsikka,User,53,22260572.0,https://github.com/dsikka
ruisearch42,User,50,161574667.0,https://github.com/ruisearch42
bnellnm,User,50,49004751.0,https://github.com/bnellnm
rkooo567,User,47,18510752.0,https://github.com/rkooo567
houseroad,User,46,30275821.0,https://github.com/houseroad
markmc,User,44,15288.0,https://github.com/markmc
bbeckca,User,41,207599689.0,https://github.com/bbeckca
22quinn,User,40,33176974.0,https://github.com/22quinn
ProExpertProg,User,39,11367180.0,https://github.com/ProExpertProg
aarnphm,User,38,29749331.0,https://github.com/aarnphm
KuntaiDu,User,36,16879550.0,https://github.com/KuntaiDu
lengrongfu,User,35,15009201.0,https://github.com/lengrongfu
joerunde,User,35,1646872.0,https://github.com/joerunde
alex-jw-brooks,User,35,10740300.0,https://github.com/alex-jw-brooks
lgeiger,User,34,13285808.0,https://github.com/lgeiger
windsonsea,User,34,79828097.0,https://github.com/windsonsea
zou3519,User,34,5652049.0,https://github.com/zou3519
LiuXiaoxuanPKU,User,33,16137495.0,https://github.com/LiuXiaoxuanPKU
