full_name,owner,name,html_url,stargazers_count,forks_count,topics,matched_topics
nomic-ai/gpt4all,nomic-ai,gpt4all,https://github.com/nomic-ai/gpt4all,76868,8297,"llm-inference,ai-chat",llm-inference
ray-project/ray,ray-project,ray,https://github.com/ray-project/ray,39698,6870,"ray,distributed,parallel,machine-learning,reinforcement-learning,deep-learning,python,rllib,hyperparameter-search,optimization,data-science,hyperparameter-optimization,serving,deployment,pytorch,tensorflow,llm-serving,large-language-models,llm,llm-inference","llm-inference,llm-serving"
gitleaks/gitleaks,gitleaks,gitleaks,https://github.com/gitleaks/gitleaks,23845,1824,"security,security-tools,git,golang,go,secret,gitleaks,devsecops,hacktoberfest,ci-cd,cicd,cli,data-loss-prevention,dlp,open-source,ai-powered,llm,llm-inference,llm-training,nhi",llm-inference
liguodongiot/llm-action,liguodongiot,llm-action,https://github.com/liguodongiot/llm-action,21719,2545,"llm,llm-inference,llm-serving,llm-training,llmops","llm-inference,llm-serving"
Lightning-AI/litgpt,Lightning-AI,litgpt,https://github.com/Lightning-AI/litgpt,12903,1347,"ai,artificial-intelligence,deep-learning,large-language-models,llm,llm-inference,llms",llm-inference
bentoml/OpenLLM,bentoml,OpenLLM,https://github.com/bentoml/OpenLLM,11916,786,"llm,llmops,model-inference,fine-tuning,llm-serving,llama,vicuna,bentoml,llama2,llm-inference,llm-ops,open-source-llm,openllm,mistral,mlops,llama3-1,llama3-2,llama3-2-vision","llm-inference,llm-ops,llm-serving,mlops,model-inference,open-source-llm"
mistralai/mistral-inference,mistralai,mistral-inference,https://github.com/mistralai/mistral-inference,10531,981,"llm,llm-inference,mistralai",llm-inference
openvinotoolkit/openvino,openvinotoolkit,openvino,https://github.com/openvinotoolkit/openvino,9174,2802,"inference,deep-learning,openvino,ai,computer-vision,diffusion-models,generative-ai,llm-inference,natural-language-processing,nlp,performance-boost,speech-recognition,stable-diffusion,deploy-ai,optimize-ai,transformers,yolo,recommendation-system,good-first-issue",llm-inference
SJTU-IPADS/PowerInfer,SJTU-IPADS,PowerInfer,https://github.com/SJTU-IPADS/PowerInfer,8378,450,"large-language-models,llama,llm,llm-inference,local-inference",llm-inference
bentoml/BentoML,bentoml,BentoML,https://github.com/bentoml/BentoML,8183,885,"model-serving,mlops,llmops,generative-ai,llm-inference,model-inference-service,inference-platform,deep-learning,llm-serving,machine-learning,python,multimodal,ml-engineering,llm,ai-inference","ai-inference,llm-inference,llm-serving,mlops,model-serving"
InternLM/lmdeploy,InternLM,lmdeploy,https://github.com/InternLM/lmdeploy,7228,617,"cuda-kernels,deepspeed,fastertransformer,llm-inference,turbomind,internlm,llama,llm,codellama,llama2,llama3",llm-inference
superduper-io/superduper,superduper-io,superduper,https://github.com/superduper-io/superduper,5221,533,"ai,mlops,torch,transformers,mongodb,python,pytorch,ml,database,data,inference,distributed-ml,llm-inference,pretrained-models,chatbot,semantic-search,llm-serving,llmops,vector-search,rag","llm-inference,llm-serving,mlops"
